Date (GMT), Open , High , Low , Last , Ask High  , Bid Low  
01-10-10, 6.6180 , 6.6800 , 6.6050 , 6.6050 , 6.7000 , 6.6050 
04-10-10, 6.6050 , 6.6908 , 6.6030 , 6.6115 , 6.7000 , 6.6030 
05-10-10, 6.6100 , 6.6906 , 6.6070 , 6.6906 , 6.7000 , 6.6070 
06-10-10, 6.5950 , 6.6050 , 6.5800 , 6.5800 , 6.6150 , 6.5800 
07-10-10, 6.5750 , 6.5750 , 6.5500 , 6.5630 , 6.5950 , 6.5500 
08-10-10, 6.5550 , 6.5700 , 6.5500 , 6.5590 , 6.5850 , 6.5500 
11-10-10, 6.5590 , 6.5590 , 6.5200 , 6.5300 , 6.5750 , 6.5200 
12-10-10, 6.5400 , 6.6180 , 6.5200 , 6.5400 , 6.6280 , 6.5200 
13-10-10, 6.5250 , 6.6140 , 6.5000 , 6.5300 , 6.6190 , 6.5000 
14-10-10, 6.5200 , 6.5300 , 6.5000 , 6.5060 , 6.5370 , 6.5000 
15-10-10, 6.5050 , 6.5070 , 6.4930 , 6.4950 , 6.5120 , 6.4930 
18-10-10, 6.5020 , 6.6070 , 6.4650 , 6.4650 , 6.6220 , 6.4650 
19-10-10, 6.4700 , 6.4800 , 6.4680 , 6.4730 , 6.4860 , 6.4680 
20-10-10, 6.4850 , 6.4950 , 6.4770 , 6.4950 , 6.5030 , 6.4770 
21-10-10, 6.4950 , 6.5450 , 6.4750 , 6.5220 , 6.5550 , 6.4750 
22-10-10, 6.5200 , 6.5650 , 6.5000 , 6.5570 , 6.5750 , 6.5000 
25-10-10, 6.5150 , 6.5850 , 6.5150 , 6.5780 , 6.5950 , 6.5150 
26-10-10, 6.5800 , 6.5950 , 6.5450 , 6.5850 , 6.6600 , 6.5450 
27-10-10, 6.5900 , 6.6450 , 6.5850 , 6.6270 , 6.6500 , 6.5850 
28-10-10, 6.6300 , 6.6450 , 6.5880 , 6.6220 , 6.6550 , 6.5880 
29-10-10, 6.6220 , 6.6250 , 6.5000 , 6.5730 , 6.6330 , 6.5000 
01-11-10, 6.5800 , 6.5800 , 6.5550 , 6.5700 , 6.5900 , 6.5550 
02-11-10, 6.5890 , 6.6100 , 6.5730 , 6.6050 , 6.6200 , 6.5730 
03-11-10, 6.5850 , 6.6010 , 6.5800 , 6.5840 , 6.6150 , 6.5800 
04-11-10, 6.5650 , 6.5840 , 6.5650 , 6.5730 , 6.5960 , 6.5650 
05-11-10, 6.5570 , 6.5820 , 6.5500 , 6.5750 , 6.5900 , 6.5500 
08-11-10, 6.5800 , 6.6050 , 6.5750 , 6.6050 , 6.6610 , 6.5750 
09-11-10, 6.6000 , 6.6150 , 6.5930 , 6.5950 , 6.6200 , 6.5930 
10-11-10, 6.5850 , 6.6150 , 6.5800 , 6.6070 , 6.6350 , 6.5800 
11-11-10, 6.6100 , 6.6100 , 6.5850 , 6.5900 , 6.6150 , 6.5850 
12-11-10, 6.6050 , 6.6230 , 6.5950 , 6.6150 , 6.6300 , 6.5950 
15-11-10, 6.6150 , 6.6240 , 6.6120 , 6.6200 , 6.6300 , 6.6120 
16-11-10, 6.6180 , 6.6280 , 6.6050 , 6.6050 , 6.6400 , 6.6050 
17-11-10, 6.6200 , 6.6200 , 6.6000 , 6.6000 , 6.6400 , 6.6000 
18-11-10, 6.6040 , 6.6040 , 6.5830 , 6.5850 , 6.6100 , 6.5830 
